Date,Country,Location,Region,Operator,Wireline Company,Well,Mud,Open Hole /Cased Hole,Bit size / Csg size [inches],Depth [m],Temperature (degC),Deviation,Dif. Pressure [psi],DLS          [deg/30m],Main Application,Toolstring,Probe/Coring Bit Orientation,System,Jar included in the Toolstring,Successful ,Unsuccessful - Downhole Conditions,Unsuccessful - Wrong Setup,Jar Activation,Remarks,Hole Size Group,Depth Group,Temperature Group,Deviation Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-19,UAE,Abu Dhabi,MEA,ADCO,SLB,HL-8,WBM,OH,6,5820,,28,,,Differential sticking,HLDS,,Wireline Express (In-Line),NO,1,0,0,N/A,,<8,4000m-6000m,<110,20-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-19,UAE,Abu Dhabi,MEA,ADCO,SLB,HL-8,WBM,OH,6,5820,,28,,,Differential sticking,ECS,,Wireline Express (In-Line),NO,1,0,0,N/A,,<8,4000m-6000m,<110,20-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-19,UAE,Abu Dhabi,MEA,ADCO,SLB,HL-8,WBM,OH,6,5820,,28,,,Differential sticking,XPT,Probe-UP,Wireline Express (In-Line),NO,1,0,0,N/A,,<8,4000m-6000m,<110,20-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-19,UAE,Abu Dhabi,MEA,ADCO,SLB,HL-8,WBM,OH,6,5820,,28,,,Differential sticking,XPT,Probe-UP,Wireline Express (In-Line),NO,1,0,0,N/A,,<8,4000m-6000m,<110,20-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-19,Trinidad & Tobago,san Fernando,LAM,BHP,SLB,Bele-1,SOBM,OH,8.5,3990,,27,700,,Ledges,MDT - Sampling,Probe-UP,Wireline Express,YES,1,0,0,NO,Successfully navigated to TD,8-10,2000m-4000m,<110,20-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-19,Trinidad & Tobago,San Fernando,LAM,BHP,SLB,Bele-1,SOBM,OH,8.5,3570,,34,,,Ledges,ZAIT-NGI-MSIP,,Wireline Express,YES,1,0,0,NO,Successfully navigated to TD. ,8-10,2000m-4000m,<110,30-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-19,Trinidad & Tobago,San Fernando,LAM,BHP,SLB,Bele-1,SOBM,OH,8.5,3570,,34,,,Ledges,ECS-PEX-HNGS-CMR,,Wireline Express,YES,1,0,0,NO,Successfully navigated to TD. ,8-10,2000m-4000m,<110,30-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-19,Trinidad & Tobago,San Fernando,LAM,BHP,SLB,Bele-1,SOBM,OH,8.5,3570,,34,700,,Ledges,MDT - Sampling,Probe-UP,Wireline Express,YES,1,0,0,NO,Successfully navigated to TD. ,8-10,2000m-4000m,<110,30-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-19,Colombia,Bogota,LAM,GTE,SLB,Prosperidad-1,WBM,OH,8.5,5183,,14,,,Ledges,HRLA-MSIP,,Wireline Express,NO,0,Hung-Up - Bridge,0,N/A,Could not pass 15m below casing shoe (4594m). Second attempt  with ThruBit (L2: cable)  reached 4792m. Third attempt with ThruBit (L3: pipe and memory) reached TD. No caliper log acquired in first 2 attempts. ,8-10,4000m-6000m,<110,10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-19,Vietnam,Vungtau,APAC,Myrphy,SLB,LDT-1X,WBM,OH,8.5,3800,175,55,,,Ledges,FMI-SS,,Wireline Express,,0,Hung-Up - Washout/Ledge,0,,"Got hold up in whashout section 200m above TD. Could not get caliper data information (Vietnam ""rule"" of not allowing data outside of coutry). ",8-10,2000m-4000m,>150degC,50-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
